"x","life_expectancy_at_birth","life_expectancy_at_birth_2","neonatal_mortality_rate","neonatal_mortality_rate_2","infant_mortality_rate","infant_mortality_rate_2","under_five_mortality_rate","under_five_mortality_rate_2","under_five_mortality_rate_3","under_five_mortality_rate_4","adult_mortality_rate","adult_mortality_rate_2","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba","73","75","..","..","..","..","..","..","..","..","124","60"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia","77","83","5","2","8","3","9","4","4","3","73","42"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austria","76","81","5","2","8","3","10","4","4","3","75","41"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Azerbaijan","62","69","31","10","76","17","95","19","20","17","319","149"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bahamas, The","70","72","14","7","20","11","24","13","14","12","236","131"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bahrain","73","79","15","3","20","6","23","7","7","7","59","51"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bangladesh","56","72","66","16","101","23","146","27","29","25","156","117"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbados","73","78","12","8","16","11","18","12","13","11","125","86"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belarus","71","72","10","1","12","2","15","3","3","2","231","80"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belgium","76","82","5","2","8","3","10","4","5","4","82","48"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Belize","71","70","19","7","31","10","38","11","12","10","240","132"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benin","53","60","45","29","104","55","173","84","89","77","289","246"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bermuda","75","79","..","..","..","..","..","..","..","..","97","42"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bhutan","56","72","42","15","89","23","127","27","29","24","156","113"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bolivia","56","64","41","13","84","20","122","25","27","22","317","191"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bosnia and Herzegovina","72","75","11","4","16","5","18","6","6","5","97","53"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Botswana","61","61","18","18","34","28","45","35","38","31","292","201"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brazil","66","73","26","9","53","13","63","14","16","13","190","95"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brunei Darussalam","72","75","6","6","10","10","13","12","13","10","141","97"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bulgaria","72","72","8","3","15","5","18","6","7","6","206","95"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burkina Faso","49","59","46","25","99","52","199","83","87","78","312","231"
